"Taxonomy subtree widget","Taxonomy subtree widget"
"Taxonomy subtree","Taxonomy subtree"
"Taxonomy was saved","Taxonomy was saved"
"Taxonomy was successfully deleted.","Taxonomy was successfully deleted."
"Taxonomy was successfully saved","Taxonomy was successfully saved"
"Taxonomy","Taxonomy"
"Text to appear below the input.","Text to appear below the input."
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The blogs setting has been deleted.","The blogs setting has been deleted."
"The filters has been deleted.","The filters has been deleted."
"The layout designs has been deleted.","The layout designs has been deleted."
"The post attribute has been deleted.","The post attribute has been deleted."
"The post attribute has been saved.","The post attribute has been saved."
"The posts has been deleted.","The posts has been deleted."
"The tags has been deleted.","The tags has been deleted."
"The taxonomies has been deleted.","The taxonomies has been deleted."
"The taxonomy has been saved.","The taxonomy has been saved."
"There was a problem saving the blog setting.","There was a problem saving the blog setting."
"There was a problem saving the comment.","There was a problem saving the comment."
"There was a problem saving the filter.","There was a problem saving the filter."
"There was a problem saving the layout design.","There was a problem saving the layout design."
"There was a problem saving the post.","There was a problem saving the post."
"There was a problem saving the tag.","There was a problem saving the tag."
"There was a problem saving the taxonomy.","There was a problem saving the taxonomy."
"There was an error deleting blog setting.","There was an error deleting blog setting."
"There was an error deleting blogs setting.","There was an error deleting blogs setting."
"There was an error deleting comments.","There was an error deleting comments."
"There was an error deleting filter.","There was an error deleting filter."
"There was an error deleting filters.","There was an error deleting filters."
"There was an error deleting layout design.","There was an error deleting layout design."
"There was an error deleting layout designs.","There was an error deleting layout designs."
"There was an error deleting post.","There was an error deleting post."
"There was an error deleting posts.","There was an error deleting posts."
"There was an error deleting tag.","There was an error deleting tag."
"There was an error deleting tags.","There was an error deleting tags."
"There was an error deleting taxonomies.","There was an error deleting taxonomies."
"There was an error deleting taxonomy.","There was an error deleting taxonomy."
"There was an error deleting the comment.","There was an error deleting the comment."
"There was an error updating blogs setting.","There was an error updating blogs setting."
"There was an error updating comments.","There was an error updating comments."
"There was an error updating filters.","There was an error updating filters."
"There was an error updating layout designs.","There was an error updating layout designs."
"There was an error updating posts.","There was an error updating posts."
"There was an error updating tags.","There was an error updating tags."
"There was an error updating taxonomies.","There was an error updating taxonomies."
"This attribute cannot be deleted.","This attribute cannot be deleted."
"This attribute cannot be updated.","This attribute cannot be updated."
"This attribute is not deletable","This attribute is not deletable"
"This attribute no longer exists","This attribute no longer exists"
"This blog setting no longer exists.","This blog setting no longer exists."
"This comment no longer exists.","This comment no longer exists."
"This filter no longer exists.","This filter no longer exists."
"This layout design no longer exists.","This layout design no longer exists."
"This post attribute cannot be edited.","This post attribute cannot be edited."
"This post attribute no longer exists","This post attribute no longer exists"
"This post does not allow comments","This post does not allow comments"
"This post no longer exists.","This post no longer exists."
"This tag no longer exists.","This tag no longer exists."
"This taxonomy no longer exists.","This taxonomy no longer exists."
"Title","Title"
"Total of %d blogs setting were successfully deleted.","Total of %d blogs setting were successfully deleted."
"Total of %d blogs setting were successfully updated.","Total of %d blogs setting were successfully updated."
"Total of %d comments were successfully deleted.","Total of %d comments were successfully deleted."
"Total of %d comments were successfully updated.","Total of %d comments were successfully updated."
"Total of %d filters were successfully deleted.","Total of %d filters were successfully deleted."
"Total of %d filters were successfully updated.","Total of %d filters were successfully updated."
